分类,公司,上班时间(原文),公司_规范,下班时间(原文),公司_集团,公司评分,评分等级,部门,部门_规范,岗位,岗位_规范,base地,城市,上班时间(标准),下班时间(标准),工作时长_小时,一周工作天数,工作天数(数字),午饭时间,晚饭时间,周三是否特殊,周五是否特殊,新人是否日报/周报,行业,行业细分,补齐标记,备注,35岁比例,福利,外资,来源
互联网,旷视,10:00（比较灵活）,旷视,（7:00-9:00）,旷视,94.5,舒适,Face++,Face++,算法,算法,北京,北京,10:00,19:00,9,5,5,12:00,18:00,否,否,实习需要,互联网,互联网/软件,,,,,否,总表
互联网,美团,10-10:30,美团,08:08:30,美团,70.2,良好,到店广告平台,市场/品牌,产品,产品经理,上海,上海,10:00,20:08,10.1,5,5,未填写,未填写,否,否,否,互联网,互联网/软件,,没食堂，工区拥挤，广平不错，组一般,,,否,总表
互联网,Pony.ai,10:30:00,Pony.ai,07:30:00,Pony.ai,87,舒适,Infra,Infra,Engineer,Engineer,北京,北京,10:30,19:30,9,5,5,13:00,未填写,否,6点下班,未填写,互联网， 民营企业,互联网/软件,,外企氛围,,,否,总表
互联网,思科,09:00:00,思科,18:00:00,思科,93.8,舒适,webex,webex,后端,后端开发,杭州,杭州,09:00,18:00,9,5,5,11:30,未填写,否,否,每天组会,互联网,互联网/软件,,,,,否,总表
互联网,百度,10点半,百度,做完可以走，一般晚上九点半,百度,75,良好,通用技术服务部,技术/研发,运营,运营,北京,北京,10:00,21:00,11,5,5,11:30,不固定,否,否,是,互联网,互联网/软件,下班时间,,,,否,总表
互联网,百度,10点-10点半,百度,9点半-10点半,百度,75,良好,内容技术架构,技术/研发,rd,rd,北京,北京,10:00,21:00,11,6,6,12:00,18:00,否,稍微早一点，有事可早走,是,互联网,互联网/软件,,,,,否,总表
互联网,百度,10：00-11：00,百度,7：00-9：00 7点有人走 9点只有几个人在 ,百度,75,良好,贴吧业务部,贴吧业务部,产品,产品经理,北京,北京,10:00,19:00,9,5,5,12:00,18:00,未填写,未填写,周报,互联网,互联网/软件,,,,,否,总表
互联网,字节,10.3,字节跳动,10点左右,字节跳动,70.2,良好,电商支付,电商,研发,研发,北京,北京,10:18,22:00,11.7,5,5,12:00,19:00,双周活动日,可以早下班,第一个月日报? 周报，后面周报,互联网,互联网/软件,,,,,否,总表
互联网,字节跳动,上午10点-10点半,字节跳动,10点（实习生9点）,字节跳动,70.2,良好,今日头条,今日头条,服务端开发,后端开发,深圳,深圳,10:00,10:00,,5,5,12:00,19:00,双周活动日，吃完饭就可以走,吃完饭可以走,日报,互联网,互联网/软件,,,,,否,总表
互联网,字节跳动,11:00:00,字节跳动,22:00:00,字节跳动,70.2,良好,直播,直播,前端,前端开发,杭州,杭州,11:00,22:00,11,5,5,11:50,18:50,双周一次活动日,否,是，要写很长一段时间,互联网,互联网/软件,,,,,否,总表
互联网,字节跳动,10:30:00,字节跳动,08:00:00,字节跳动,70.2,良好,半次元,半次元,运营,运营,上海,上海,10:30,20:00,9.5,5,5,12:00,18:50,是，每隔一周，周三活动日,否,是，双周报+周报+双月okr,互联网,互联网/软件,,不卷，公司提供三餐，无打卡。,,,否,总表
互联网,字节跳动,10:30:00,字节跳动,09:30:00,字节跳动,70.2,良好,智能创作,算法,图形算法,算法,上海,上海,10:30,21:30,11,5,5,12:00,19:00,两周一次活动日,可以早点走,每人都得写周报,互联网,互联网/软件,,工作氛围也不错。总体比较卷，但是少部分95后/00后比较多的组相对比较自由，8点就走光了。,,,否,总表
