规范名,原始名称(变体)
12306,12306
2345网络,2345
4399,4399
58同城,58
IBM,IBM
OPPO,OPPO
PayPal,PayPal
SAP,SAP
TCL,TCL
TCL,tcl
ZARA,ZARA
vivo,vivo
一汽丰田,一汽丰田
万科,万科
三一重工,三一重工
东方财富,东方财富
中信证券,中信证券
中兴,中兴
中兴,中兴通讯
中兴,中兴通讯股份有限公司
中兴,深圳市中兴新云服务有限公司
中芯国际,中芯国际
中金公司,中金公司
中金公司,中金
丰田,丰田
亚马逊,亚马逊
京东,京东
京东,某东
京东健康,京东健康
京东物流,京东物流
优衣库,优衣库
传音控股,传音
传音控股,传音控股
依图科技,依图
依图科技,依图科技
保利发展,保利
保利发展,保利发展
保时捷,保时捷
华为,华为
华为,华为技术有限公司
华为,华为科技有限公司
华为,华为云
华为,华为终端
博世,博世
同花顺,同花顺
哔哩哔哩,哔哩哔哩
哔哩哔哩,B站
哔哩哔哩,bilibili
商汤科技,商汤
商汤科技,商汤科技
国泰君安,国泰君安
大众汽车,大众
大华股份,大华
大华股份,大华股份
大疆,大疆
大疆,大疆创新
奇虎360,360
奇虎360,奇虎360
奔驰,奔驰
奥迪,奥迪
字节跳动,字节
字节跳动,字节跳动
字节跳动,字节 天津
字节跳动,北京字节跳动科技有限公司
字节跳动,抖音
字节跳动,抖音集团
字节跳动,飞书
字节跳动,今日头条
字节跳动,头条
宁德时代,宁德时代
宜家,宜家
宝马,宝马
家乐福,家乐福
小米,小米
小米,小米集团
小米,小米科技
小米,小米金融
小米,小米南京总部
小红书,小红书
小鹏汽车,小鹏
小鹏汽车,小鹏汽车
平安集团,平安
平安集团,平安银行
平安集团,平安科技
平安集团,中国平安
广汽丰田,广汽丰田
广联达,广联达
徐工,徐工
微博,微博
微博,新浪微博
微软,微软
快手,快手
快手,某手
思科,思科
恒瑞医药,恒瑞
恒瑞医药,恒瑞医药
恒生电子,恒生电子
惠普,惠普
戴尔,戴尔
招商银行,招商银行
拼多多,拼多多
拼多多,多多买菜
搜狐,搜狐
搜狐,北京搜狐新媒体信息技术有限公司
搜狐畅游,搜狐畅游
携程,携程
携程,去哪儿
新浪,新浪
旷视,旷视
旷视,旷视科技
旷视,北京旷视科技
旷视,Face++
星巴克,星巴克
松下,松下
格力,格力
格力,格力电器
比亚迪,比亚迪
比亚迪,比亚迪汽车
比亚迪,比亚迪（电子事业群）
汇丰银行,汇丰
汇丰银行,汇丰银行
沃尔玛,沃尔玛
海尔,海尔
海尔,海尔集团
海尔智家,海尔智家
海底捞,海底捞
海康威视,海康威视
海康威视,杭州海康威视数字技术股份有限公司
海康机器人,海康机器人
深信服,深信服
滴滴,滴滴
滴滴,滴滴出行
滴滴,滴滴国际化
滴滴,滴滴打车
爱立信,爱立信
牧原集团,牧原集团
特斯拉,特斯拉
理想汽车,理想汽车
理想汽车,理想
瑞幸咖啡,瑞幸
瑞幸咖啡,瑞幸咖啡
甲骨文,甲骨文
百度,百度
百度,百度上海
百度,外包百度
百度,百度智能云
百度,某度
百胜中国,肯德基
碧桂园,碧桂园
科沃斯,科沃斯
索尼,索尼
网易,网易
网易,网易互娱
网易,网易游戏
网易云音乐,网易云音乐
网易有道,网易有道
美团,美团
美团,美团点评
美团,大众点评
美团,美团外卖
美团,某团
美的,美的
美的,美的集团
联想,联想
联想,联想集团
腾讯,腾讯
腾讯,深圳市腾讯公司
腾讯,腾讯科技
腾讯,腾讯云
腾讯,腾讯微信
腾讯,微信
腾讯,某讯
英伟达,英伟达
英特尔,英特尔
苹果,苹果
荣耀,荣耀
药明康德,药明康德
蔚来,蔚来
蚂蚁集团,阿里蚂蚁
蚂蚁集团,蚂蚁
蚂蚁集团,蚂蚁集团
蚂蚁集团,蚂蚁金服
蜜雪冰城,蜜雪冰城
西门子,西门子
视源股份,视源股份
诺基亚,诺基亚
谷歌,谷歌
谷歌,Google
达达-京东,京东到家
达达-京东,达达
迈瑞医疗,迈瑞
迈瑞医疗,迈瑞医疗
金山,金山
金山云,金山云
金山办公,金山办公
金山办公,WPS
长江存储,长江存储
阿里巴巴,阿里
阿里巴巴,阿里巴巴
阿里巴巴,阿里云
阿里巴巴,钉钉
阿里巴巴,高德
阿里巴巴,淘宝
阿里巴巴,天猫
阿里巴巴,菜鸟
阿里巴巴,菜鸟网络
阿里巴巴,某里
隆基绿能,隆基
隆基绿能,隆基绿能
顺丰,顺丰
顺丰,顺丰速运
顺丰同城,顺丰同城科技
顺丰同城,顺丰同城急送
饿了么,饿了么
麦当劳(中国),麦当劳
麦当劳(中国),麦当劳(中国)
龙湖集团,龙湖
龙湖集团,龙湖集团
