公司_规范,集团,分类,记录数,原始名称数,城市数,城市,平均上班,平均下班,平均工时,评分,等级,备注数
腾讯,腾讯,互联网,375,14,11,深圳、广州、北京、上海、武汉、成都、全球、长沙、合肥、重庆、西安,09:50,18:38,10.1,79.1,良好,202
字节跳动,字节跳动,互联网,280,4,12,北京、深圳、杭州、上海、武汉、重庆、广州、天津、成都、西安、石家庄、南京,10:14,19:52,10.5,70.2,良好,111
阿里巴巴,阿里巴巴,互联网,200,12,7,杭州、广州、北京、上海、南京、深圳、北上杭,09:47,18:54,10.0,78.5,良好,114
美团,美团,互联网,162,2,4,上海、北京、深圳、成都,10:08,19:59,10.6,70.2,良好,73
华为,华为,互联网,119,7,14,杭州、深圳、上海、南京、东莞、成都、北京、武汉、西安、海外、全国、苏州、长沙,09:03,18:06,10.2,78.8,良好,55
百度,百度,互联网,119,4,5,北京、深圳、上海、广州、成都,09:57,19:28,10.1,75.0,良好,52
京东,京东,互联网,82,9,6,成都、上海、北京、武汉、深圳、南京,09:15,17:53,10.1,80.5,良好,49
网易,网易,互联网,79,11,5,杭州、广州、北京、上海、西安,09:37,18:43,10.0,82.3,良好,37
滴滴,滴滴,互联网,67,3,7,北京、杭州、成都、广州、深圳、上海、南京,10:00,19:32,10.0,76.6,良好,29
快手,快手,互联网,54,1,6,北京、深圳、成都、比较、广州、杭州,10:03,19:56,10.9,67.5,一般,22
小米,小米,互联网,51,4,5,北京、南京、上海、武汉、重庆,09:37,19:32,11.2,67.6,一般,24
中国移动,中国移动,互联网,40,19,13,南京、杭州、珠海、北京、南昌、深圳、成都、上海、郑州、长沙、沈阳、西安,08:54,18:21,9.5,83.8,良好,27
哔哩哔哩,哔哩哔哩,互联网,34,3,2,上海、北京,10:17,19:04,9.5,86.5,舒适,14
平安集团,平安集团,互联网,33,13,7,上海、深圳、成都、青岛、广州、沈阳、佛山,08:47,17:30,9.0,88.8,舒适,17
