城市,记录数,公司数,平均上班,平均下班,平均工时,平均评分
北京,1940,682,09:35,18:49,9.9,78.7
上海,1112,594,09:27,18:27,9.5,81.4
深圳,885,402,09:17,18:27,9.9,79.8
杭州,691,276,09:17,18:26,9.7,79.4
广州,543,307,09:09,18:16,9.6,79.9
成都,266,176,09:04,18:08,9.6,80.4
南京,220,146,08:43,18:10,9.7,79.6
武汉,144,102,09:00,18:26,9.6,80.2
未填写,127,103,08:07,17:20,9.6,77.4
西安,108,77,08:41,18:07,9.6,77.8
苏州,106,74,08:53,17:22,8.7,88.2
长沙,93,71,08:41,17:33,9.3,82.5
济南,78,48,08:14,17:38,9.7,78.3
青岛,74,45,08:30,17:57,9.6,82.3
郑州,67,56,08:28,17:36,9.3,82.5
重庆,64,54,08:50,18:11,9.3,82.8
厦门,60,43,08:42,18:03,9.4,80.2
合肥,55,35,08:43,17:14,9.2,79.9
天津,52,45,08:28,17:09,9.3,80.3
珠海,46,29,08:42,18:13,9.7,82.5
福州,44,34,08:41,17:54,9.4,81.9
东莞,40,23,08:40,18:35,10.2,75.6
佛山,39,24,08:30,18:39,10.1,75.8
宁波,31,25,08:24,17:33,9.2,83.3
无锡,29,21,08:39,18:01,9.4,83.7
大连,22,15,08:41,17:56,9.2,84.6
南昌,22,19,08:35,17:28,9.3,83.1
沈阳,20,12,08:19,17:24,10.3,83.9
南宁,19,12,08:39,18:22,9.7,84.3
石家庄,17,14,08:41,17:05,8.4,81.7
长春,15,12,08:06,18:01,10.0,75.4
海外,14,11,09:26,18:22,8.9,87.9
烟台,13,9,08:06,17:29,9.3,84.1
柳州,10,6,08:33,18:00,9.4,81.8
保定,10,4,08:13,18:29,10.3,69.0
昆明,10,9,08:49,18:32,9.7,76.6
惠州,10,8,08:24,18:42,10.3,71.9
全国,9,9,08:53,18:16,10.6,61.6
常州,8,7,08:16,18:11,9.9,74.8
宁德,8,1,08:11,19:48,11.6,60.1
哈尔滨,7,6,08:15,16:04,7.8,85.6
中山,7,6,08:43,16:28,9.0,87.6
淄博,7,5,08:07,16:12,8.1,87.7
唐山,6,4,08:15,18:49,10.6,64.3
嘉兴,6,5,08:09,17:43,9.6,80.9
汕头,6,3,08:13,18:39,10.4,65.8
南阳,6,2,08:10,15:35,7.4,85.6
香港,5,4,08:51,16:06,7.3,89.3
太原,5,4,08:36,17:36,9.0,82.0
徐州,5,3,08:32,18:12,9.7,78.0
绵阳,5,4,09:04,20:22,11.0,57.1
泉州,5,5,08:06,18:30,10.2,72.2
金华,5,4,08:32,11:30,4.1,86.9
燕郊,4,2,09:15,12:00,2.8,100.0
清远,4,2,09:00,18:00,9.0,89.4
洛阳,4,3,08:18,17:27,9.1,63.8
南通,4,4,08:18,17:41,9.4,83.6
株洲,4,4,08:45,18:45,10.0,75.2
温州,3,3,08:10,17:20,9.2,85.1
一线城,3,2,05:40,11:30,8.8,80.6
廊坊,3,3,07:50,19:10,11.3,60.2
山东临沂,3,3,08:20,17:40,9.3,84.5
潍坊,3,3,07:50,19:00,11.2,61.5
连云港,3,3,09:00,17:20,8.3,92.6
各地分公司,2,1,08:30,21:00,12.5,58.6
广东肇庆,2,2,08:15,18:00,9.8,78.2
德州,2,2,08:00,19:00,11.0,60.1
台北,2,2,09:00,18:30,9.5,79.2
粤东,2,1,08:30,18:00,9.5,90.4
福建宁德,2,1,08:00,15:30,7.5,60.1
