公司_规范,集团,分类,记录数,城市数,平均上班,平均下班,平均工时,评分,等级
中交一公局第三,中交一公局第三,其他,1,1,08:00,23:30,15.5,4.2,很卷
中铁四局,中铁四局,其他,1,1,07:00,23:00,16.0,6.5,很卷
中铁一局,中铁一局,其他,1,1,07:30,23:00,15.5,6.5,很卷
中铁大桥局,中铁大桥局,其他,1,1,07:45,23:00,15.2,6.5,很卷
华腾,华腾,其他,1,1,07:00,23:00,16.0,6.5,很卷
中铁五局,中铁五局,其他,1,1,07:00,23:00,16.0,6.5,很卷
铜鼓中学,铜鼓中学,其他,1,1,06:20,22:20,16.0,9.5,很卷
中铁二十三局集团轨道交通工程,中铁二十三局集团轨道交通工程,其他,1,1,07:30,22:30,15.0,9.6,很卷
中国铁工投资建设集团城市建设,中国铁工投资建设集团城市建设,其他,1,1,07:30,22:30,15.0,9.6,很卷
中建八局西北公司,中建八局西北公司,其他,1,1,08:00,23:00,15.0,10.4,很卷
东营市一中,东营市一中,其他,1,1,06:05,22:00,15.9,11.0,很卷
匿名内资八大会计师事务所,匿名内资八大会计师事务所,其他,1,1,09:00,23:30,14.5,11.0,很卷
东亚前海证券,东亚前海证券,金融,1,1,08:30,23:00,14.5,11.9,很卷
北京市心肺血管疾病研究所,北京市心肺血管疾病研究所,其他,1,1,08:30,23:30,15.0,12.5,很卷
中建,中建,其他,1,1,07:18,22:00,14.7,13.8,很卷
中国铁设,中国铁设,其他,1,1,08:30,23:30,15.0,14.0,很卷
青岛平度华阳中学,青岛平度华阳中学,其他,1,1,05:30,22:40,17.2,14.0,很卷
中铁二局,中铁二局,其他,1,1,07:25,22:00,14.6,14.4,很卷
觅赢,觅赢,互联网,1,1,08:00,23:00,15.0,14.9,很卷
中建x局一公司,中建x局一公司,其他,1,1,07:30,22:00,14.5,15.0,很卷
迈拓仪表,迈拓仪表,其他,1,1,08:15,23:00,14.8,15.3,很卷
南京麦斯特,南京麦斯特,互联网,1,1,08:15,23:00,14.8,15.3,很卷
深圳微品致远,深圳微品致远,互联网,1,1,09:00,23:00,14.0,16.4,很卷
剧组,剧组,其他,1,1,09:00,23:00,14.0,16.4,很卷
NWPU,NWPU,其他,2,1,06:30,21:30,15.0,17.2,很卷
中建八局第二建设,中建八局第二建设,其他,1,1,07:30,22:30,15.0,17.2,很卷
中交第一航务工程局,中交第一航务工程局,其他,1,1,08:00,22:00,14.0,18.2,很卷
公路施工单位,公路施工单位,其他,1,1,08:00,22:00,14.0,18.2,很卷
光典信息发展,光典信息发展,互联网,1,1,09:15,23:00,13.8,18.3,很卷
四川省工业设备安装,四川省工业设备安装,其他,1,1,08:00,22:30,14.5,18.8,很卷
