公司_规范,集团,分类,记录数,城市数,平均上班,平均下班,平均工时,评分,等级
达达,达达,互联网,3,1,09:20,15:22,6.0,100.0,舒适
道富银行,道富银行,互联网,3,1,09:20,17:10,7.8,100.0,舒适
英特尔,英特尔,互联网,6,2,08:55,16:58,8.0,100.0,舒适
锐捷网络,锐捷网络,互联网,4,3,09:12,16:00,6.8,100.0,舒适
东吴证券,东吴证券,金融,3,2,08:10,14:50,6.7,100.0,舒适
Momenta,Momenta,互联网,4,2,10:15,14:00,3.8,100.0,舒适
启明星辰,启明星辰,互联网,5,2,09:25,17:15,7.8,100.0,舒适
招联金融,招联金融,互联网,4,1,08:27,15:15,6.8,100.0,舒适
VMware,VMware,互联网,4,1,09:45,17:45,8.0,100.0,舒适
谷歌,谷歌,互联网,6,3,09:55,17:15,7.3,100.0,舒适
SAP,SAP,互联网,9,3,09:10,18:00,8.8,100.0,舒适
帆软软件,帆软软件,互联网,5,2,09:12,17:36,8.4,99.7,舒适
微软,微软,互联网,28,3,09:45,18:06,8.4,99.4,舒适
上汽大众,上汽大众,其他,4,1,09:22,17:30,8.1,98.9,舒适
爱立信,爱立信,互联网,8,4,09:15,17:48,8.6,98.8,舒适
Intel,Intel,互联网,4,2,09:00,17:00,8.0,98.7,舒适
中国石油,中国石油,其他,8,4,08:22,16:37,8.2,97.7,舒适
顶点软件,顶点软件,互联网,3,2,09:15,17:31,8.3,97.7,舒适
中国信通院,中国信通院,其他,3,2,09:00,17:10,8.2,97.6,舒适
中国烟草,中国烟草,其他,4,3,08:23,16:48,8.4,97.4,舒适
匿名国企,匿名国企,其他,9,6,08:47,17:22,8.6,97.4,舒适
freewheel,freewheel,互联网,4,1,09:45,18:07,8.4,97.1,舒适
悠星,悠星,互联网,3,1,10:00,18:16,8.3,97.1,舒适
中移互联网,中移互联网,互联网,3,1,08:56,17:10,8.2,97.0,舒适
三一重工,三一重工,其他,6,2,08:00,15:05,7.1,96.8,舒适
中国建设银行,中国建设银行,金融,5,4,08:18,15:18,7.0,95.9,舒适
南极电商,南极电商,互联网,3,1,10:10,18:30,8.3,95.6,舒适
联想,联想,互联网,27,6,09:19,18:12,8.9,95.6,舒适
奥格科技,奥格科技,互联网,3,1,09:00,17:30,8.5,95.5,舒适
戴德梁行,戴德梁行,外企,3,2,09:20,18:00,8.7,95.4,舒适
PayPal,PayPal,外企,3,2,09:00,18:00,9.0,95.4,舒适
药明康德,药明康德,其他,4,3,08:41,17:07,8.4,95.2,舒适
亚信科技,亚信科技,互联网,3,2,09:00,17:36,8.6,94.9,舒适
旷视,旷视,互联网,8,2,10:18,18:41,8.4,94.5,舒适
蘑菇街,蘑菇街,互联网,4,1,09:30,18:30,9.0,94.4,舒适
甲骨文,甲骨文,互联网,4,3,09:07,17:52,8.8,94.3,舒适
普华永道,普华永道,外企,3,3,09:16,17:39,8.5,94.2,舒适
IBM,IBM,互联网,9,7,09:08,17:43,8.6,94.0,舒适
匿名咨询公司,匿名咨询公司,其他,3,3,08:50,17:30,8.7,94.0,舒适
ThoughtWorks,ThoughtWorks,互联网,3,2,09:10,18:00,8.8,93.9,舒适
延锋彼欧汽车外饰系统,延锋彼欧汽车外饰系统,外企,3,1,08:00,16:20,8.3,93.9,舒适
思科,思科,互联网,7,4,09:10,17:45,8.6,93.8,舒适
传音控股,传音控股,其他,3,2,09:20,18:00,9.0,93.3,舒适
微博,微博,互联网,14,2,09:35,17:45,8.8,93.3,舒适
blued,blued,互联网,3,1,09:30,18:20,8.8,93.2,舒适
匿名外企,匿名外企,外企,3,3,08:32,17:12,8.7,93.2,舒适
西山居,西山居,互联网,4,3,09:04,18:00,8.9,93.0,舒适
纷享销客,纷享销客,互联网,3,1,09:20,18:30,9.2,93.0,舒适
亚信,亚信,互联网,5,3,09:00,17:54,8.9,93.0,舒适
网易有道,网易,互联网,6,3,09:45,18:30,8.8,93.0,舒适
